iter	Passed	Remaining
1119	13705	575
1120	13713	562
1121	13721	550
1122	13728	537
1123	13738	525
1124	13745	513
1125	13750	500
1126	13755	488
1127	13762	475
1128	13771	463
1129	13779	451
1130	13788	438
1131	13796	426
1132	13804	414
1133	13810	401
1134	13819	389
1135	13826	377
1136	13836	365
1137	13843	352
1138	13850	340
1139	13859	328
1140	13866	315
1141	13873	303
1142	13881	291
1143	13884	279
1144	13895	266
1145	13901	254
1146	13908	242
1147	13919	230
1148	13925	218
1149	13932	205
1150	13940	193
1151	13947	181
1152	13953	169
1153	13959	157
1154	13966	145
1155	13974	132
1156	13981	120
1157	13985	108
1158	13993	96
1159	14000	84
1160	14007	72
1161	14019	60
1162	14027	48
1163	14034	36
1164	14045	24
1165	14054	12
1166	14058	0
